main_artist,source0,source1,source2,source3,source4,source5,source6,# streams
USHER,LaFace Records,"","","","","","",2446299
Selena Gomez,Interscope Records,"","","","","","",2445456
Janesh,Riri AJ Entertainment,"","","","","","",2442326
Zedd,UMGRI Interscope,"","","","","","",2433374
21 Savage,Slaughter Gang LLC,Epic,Boominati Worldwide,Republic,"","","",2430151
Gaba Cannal,Gaba Cannal Music,"","","","","","",2429830
ShaunMusiq & Ftears,Kgaday,"","","","","","",2407643
Megan Thee Stallion,300 Entertainment,"","","","","","",2406758
Anne-Marie,Atlantic Records UK,"","","","","","",2398065
Navigator Gcwensa,Insika Yethonga,"","","","","","",2396724
Muni Long,Muni Long PS, Def Jam,"","","","","",2396222
Daniel Caesar,MBK Entertainment,RCA Records,"","","","","",2380355
Post Malone,Universal Records,"","","","","","",2376593
Irene-Louise Van Wyk,WM South Africa,"","","","","","",2374423
015 MusiQ & Van City MusiQ,Makhates Productions,"","","","","","",2371292
Camila Cabello,Syco Music,Epic,"","","","","",2366307
Kwiish SA,Content Connect Africa,"","","","","","",2365895
Zakes Bantwini,Universal Music (Pty) Ltd.,"","","","","","",2359709
Martin Garrix,Epic Amsterdam,"","","","","","",2354621
Lil Tecca,Republic Records,"","","","","","",2352357
Ndotz,Isekai Records,"","","","","","",2343616
Fireboy DML,YBNL Nation, EMPIRE,"","","","","",2334279
Jason Derulo,Atlantic Records,"","","","","","",2333386
Marshmello,Joytime Collective,RCA Records,"","","","","",2328320
Mariah Carey,Columbia,"","","","","","",2316987
Imagine Dragons,KIDinaKORNER,Interscope Records,"","","","","",2316206
Solly Moholo,Sony Music Special Projects,"","","","","","",2294799
Chike,Brothers Records under exclusive license to ONErpm,"","","","","","",2289014
Shallipopi,Since 93,"","","","","","",2274976
Jawsh 685,Columbia,"","","","","","",2263609
DBN Gogo,D&D Studios,"","","","","","",2245272
Officixl Rsa,North West Sound Recordings,"","","","","","",2243625
Yanga Chief,YOUNG LEGEND MUSIC,"","","","","","",2242200
Avicii,Universal Music AB,"","","","","","",2241183
JVKE,JVKE,"","","","","","",2235482
Usimamane,Â© 2024 All Star Entity under exclusive license to Saak Industry.,"","","","","","",2228943
Lady Gaga,Interscope Records,"","","","","","",2228380
Arizona Zervas,Arizona Zervas,"","","","","","",2226341
Vance Joy,F-Stop Records,Atlantic,"","","","","",2217326
Meghan Trainor,Epic,"","","","","","",2217256
DJ Kent,88 Productions,"","","","","","",2212730
Jonas Brothers,Jonas Brothers Recording,"","","","","","",2201005
Lekker Stylist,Salani Records,"","","","","","",2200205
Pushkin RSA,Vatic Space,"","","","","","",2171993
Emtee,EMTEE RECORDS, EMPIRE,"","","","","",2166817
Marshmello,Republic Records,"","","","","","",2164554
MacG,M2N Services,"","","","","","",2161364
Dinho,Sound African Recordings,"","","","","","",2146938
Sun-El Musician,El-World,"","","","","","",2145651
Thak'so Ujey Choir,Thak'so Ujey Choir,"","","","","","",2142588
P!nk,RCA Records Label,"","","","","","",2141790
CKay,Chocolate City Music,"","","","","","",2132219
Blaq Diamond,Umuthi Othi Thi (Pty) Ltd,"","","","","","",2125656
Jung Kook,BIGHIT MUSIC,"","","","","","",2125249
Shawn Mendes,Shawn Mendes LP4-5 PS, Island,"","","","","",2122699
Riton,Ministry of Sound Recordings,"","","","","","",2119112
Blaq Diamond,Ambitiouz Entertainment,"","","","","","",2113152
blackbear,Alamo,"","","","","","",2108964
Regard,Ministry of Sound Recordings,"","","","","","",2100048
Najee,EMI,EMI Records (USA),"","","","","",2088846
Shandesh,Naleboy Music,"","","","","","",2082396
Musical Jazz,Musical Jazz Entertainment,"","","","","","",2040693
Ruger,Columbia,"","","","","","",2035442
Rihanna,Roc Nation, Rihanna,"","","","","",1991636
TxC,2024 TXC Enterprises,LVRN Records,"","","","","",1987601
Quavo,Quality Control Music,Motown Records,"","","","","",1987337
Aymos,DJs Production,"","","","","","",1985987
Megan Thee Stallion,Hot Girl Productions,"","","","","","",1985970
DJ KSB,Wanitwa Mos Entertainment,"","","","","","",1967997
Jamie Fine,Universal Music Canada,"","","","","","",1959956
Sun-El Musician,EL World Music,"","","","","","",1942851
Reece Madlisa,Black Is Brown Ent & Prime Hold Consulting,"","","","","","",1939914
Sha Sha,Sound African Recordings,"","","","","","",1924533
Chris Steyn,Warner Music Africa,"","","","","","",1914179
Rihanna,Roc Nation,Def Jam,Hollywood,"","","","",1887082
Xduppy,Kgaday,"","","","","","",1886209
Powfu,Columbia,"","","","","","",1881142
Don Toliver,Cactus Jack, Atlantic,"","","","","",1880760
Venom,Sound African Recordings,"","","","","","",1880151
Joji,88rising Music,Warner Records,"","","","","",1874215
