original_name,match_name,score,match_index
atlanticsnip gang,atlanticsnip gang,100.0,38101
nazma,nazma,100.0,38159
tayo project the t effect,tayo project the t effect,100.0,38200
kordhel,kordhel,100.0,38217
so vinci,so vinci,100.0,38263
dope dream,dope dream,100.0,38269
sundanc music,sundanc music,100.0,38306
kygo,kygo,100.0,38379
palm tree recordsrca record,palm tree recordsrca record,100.0,38441
kygorca record,kygorca record,100.0,38537
thi ai nt bristol,thi ai nt bristol,100.0,38863
limit nala music,limit nala music,100.0,38875
lloud corca record,lloud corca record,100.0,38958
masterwork,masterwork,100.0,38986
ladi du entertain,ladi du entertain,100.0,39106
wa waemexte,wa waemexte,100.0,39109
a star is born ost,a star is born ost,100.0,39124
centric musicwarn record,centric musicwarn record,100.0,39506
three name product island record republ record,three name product island record republ record,100.0,39545
lauv,lauv,100.0,39567
artist partner group,artist partner group,100.0,39934
leah kate under exclus licens to 10k project mddn,leah kate under exclus licens to 10k project mddn,100.0,39941
villain musiq,villain musiq,100.0,39944
villain musiq top tier music empir,villain musiq top tier music empir,100.0,39945
villain musiq empir,villain musiq empir,100.0,39946
integr music,integr music,100.0,39948
indigen tune,indigen tune,100.0,39951
salani record,salani record,100.0,39954
str8 reload,str8 reload,100.0,39973
roy bulkin music,roy bulkin music,100.0,39977
ezmni recordsmotown record,ezmni recordsmotown record,100.0,39980
syco music,syco music,100.0,39987
vertigo berlin,vertigo berlin,100.0,39993
qualiti control musicmotown record,qualiti control musicmotown record,100.0,40666
qualiti control musicyoung stoner life record a 300 entertain labelmotown recordscapitol record,qualiti control musicyoung stoner life record a 300 entertain labelmotown recordscapitol record,100.0,40673
qualiti controlmotown record,qualiti controlmotown record,100.0,40792
qualiti control music carolin,qualiti control music carolin,100.0,40795
qualiti control musicalamo recordsmotown record,qualiti control musicalamo recordsmotown record,100.0,40826
commissionbmg,commissionbmg,100.0,40916
alamo,alamo,100.0,40950
lil mabu,lil mabu,100.0,40997
mogul visioninterscop record,mogul visioninterscop record,100.0,41009
all we got,all we got,100.0,41522
galact recordslil tecca,galact recordslil tecca,100.0,41526
galact republ record,galact republ record,100.0,41527
galact recordsrepubl record,galact recordsrepubl record,100.0,41543
