main_artist,track_name,trackAppearanceCount,artistAppearanceCount,rank,peak_rank,previous_rank,weeks_on_chart,streams,ArtistCount,isTopTen,rank difference,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels,main_art_track,entry rank
9umba,uMlando,42,43,199,2,-1,43,34286,1,1,38,82958,36893.0,579019.0,41358.5,132.0,14.0,66.0,10130.0,1.5,1.2745778331932887,3,9umbauMlando,14
9umba,uMlando,43,44,127,2,199,44,51065,1,1,-72,82958,31308.0,1353081.0,39796.5,86.0,34.0,107.0,17496.0,2.244186046511628,1.5588348026063625,3,9umbauMlando,14
9umba,uMlando,44,45,126,2,127,45,45335,1,1,-1,82958,32895.0,679809.0,42488.0625,104.0,16.0,94.0,21831.0,1.9038461538461537,1.663657090743274,3,9umbauMlando,14
A-Reece,BAD GUY,1,65,89,10,10,2,48759,1,1,79,48759,27925.0,27925.0,27925.0,168.0,1.0,0.0,0.0,1.0,1.0,2,A-ReeceBAD GUY,89
A-Reece,BAD GUY,2,69,190,10,89,3,34979,1,1,101,48759,30943.0,30943.0,30943.0,122.0,1.0,0.0,0.0,1.0,1.0,2,A-ReeceBAD GUY,89
A-Reece,BIGGER THAN ME,1,67,144,19,19,2,39594,1,0,125,39594,59875.0,738426.0,73842.6,52.0,10.0,49.0,26434.0,1.9423076923076923,1.4414864300626304,2,A-ReeceBIGGER THAN ME,144
A-Reece,GODLIKE,1,68,200,24,24,2,33793,1,0,176,33793,32989.0,79967.0,39983.5,53.0,2.0,61.0,13989.0,2.150943396226415,1.4240504410561097,2,A-ReeceGODLIKE,200
A-Reece,INTENTIONS,1,66,131,20,20,2,40613,1,0,111,40613,29884.0,100966.0,50483.0,25.0,2.0,114.0,41198.0,5.56,2.3785972426716637,2,A-ReeceINTENTIONS,131
AKA,10 Fingers,1,127,111,111,113,2,48271,1,0,-2,48271,34456.0,34456.0,34456.0,102.0,1.0,0.0,0.0,1.0,1.0,2,AKA10 Fingers,111
AKA,"All Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",1,121,28,22,22,2,110194,3,0,6,110194,29554.0,29554.0,29554.0,144.0,1.0,0.0,0.0,1.0,1.0,2,"AKAAll Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",28
AKA,"All Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",2,150,63,22,28,3,75469,3,0,35,110194,41511.0,41511.0,41511.0,171.0,1.0,0.0,0.0,1.0,1.0,2,"AKAAll Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",28
