main_artist,chart_country,num_songs_artist,peak_rank,Earliest End Date,Max End Date,total_streams,#_years_appeared,IsBoyGroup,IsGirlGroup,total_artistAppearanceCount,all_collaborators
Emmy Meli,Global,1,51,2021/12/02,2022/02/17,95524954,2,FALSE,FALSE,11,0
FIFTY FIFTY,Global,2,4,2023/03/23,2024/01/11,765072571,2,FALSE,TRUE,46,0
Farruko,Global,5,4,2017/01/05,2023/01/05,1485813405,5,FALSE,FALSE,124,5
Fireboy DML,Global,1,89,2021/12/30,2022/02/10,44442177,2,FALSE,FALSE,6,1
Fivio Foreign,Global,2,57,2022/02/17,2022/07/14,28209307,1,FALSE,FALSE,3,3
Frank Ocean,Global,6,50,2017/03/16,2024/06/20,757687147,5,FALSE,FALSE,81,0
Frank Sinatra,Global,4,19,2016/12/29,2023/12/28,619243877,8,FALSE,FALSE,56,1
Future,Global,54,3,2016/12/29,2024/06/20,3172394492,9,FALSE,FALSE,321,19
GAYLE,Global,2,1,2021/11/18,2022/09/15,784254446,2,FALSE,FALSE,44,0
Galantis,Global,5,46,2016/12/29,2021/10/07,291063271,4,FALSE,FALSE,51,4
Giveon,Global,1,8,2021/02/18,2022/01/20,519289468,2,FALSE,FALSE,46,0
Glass Animals,Global,1,1,2020/12/31,2024/06/20,2826617430,5,FALSE,FALSE,174,0
Gunna,Global,17,9,2019/02/07,2024/06/20,1114947845,6,FALSE,FALSE,98,7
Gwen Stefani,Global,1,88,2018/12/27,2023/12/28,93069425,6,FALSE,FALSE,9,1
H.E.R.,Global,1,150,2021/04/29,2021/04/29,5531998,1,FALSE,FALSE,0,1
Halsey,Global,14,4,2017/01/19,2023/06/15,2086955620,7,FALSE,FALSE,232,3
Harry Styles,Global,35,1,2017/04/13,2024/06/20,10042187119,8,FALSE,FALSE,801,0
Hozier,Global,4,2,2017/01/26,2024/06/20,1588585102,8,FALSE,FALSE,163,0
Imagine Dragons,Global,21,3,2017/02/09,2024/06/20,8181926004,8,FALSE,FALSE,964,3
Internet Money,Global,6,2,2019/10/24,2021/11/11,947930278,3,FALSE,FALSE,78,10
J Balvin,Global,38,1,2016/12/29,2023/03/30,5973642722,8,FALSE,FALSE,714,24
J. Cole,Global,38,2,2016/12/29,2024/05/30,2563510760,9,FALSE,FALSE,298,12
JID,Global,1,34,2023/11/23,2024/03/28,248145560,2,FALSE,FALSE,18,2
JIN,Global,2,32,2021/11/11,2022/12/01,58278912,2,FALSE,FALSE,5,0
JP Saxe,Global,1,38,2019/11/14,2021/05/20,570566236,3,FALSE,FALSE,78,1
JVKE,Global,3,14,2022/03/10,2024/01/11,964413007,3,FALSE,FALSE,75,4
Jack Harlow,Global,12,2,2020/02/06,2024/06/20,2185625594,5,FALSE,FALSE,176,6
