source,streams
Prajin Parlay Inc dba Prajina Records / Worms Music / Warner Music Colombia,7852397
PMI Records Oficial,7797383
Xxxtentacion,7785561
Kartel Music / Prajin Music,7616552
TenThousand Projects,7610829
피네이션,7371962
EMI Gold,6971970
KeyQaad,6948004
Universal Music Division Virgin Records,6935400
MC Rogerinho Oficial,6882424
t-low,6841626
Lost kids,6731106
Authentic Records OFC,6713237
Island Records/Hollywood Records,6665963
Arista/Legacy,6525834
Century Media,6277641
Universal Music Polska Sp. z o.o.,6237019
Major Tom's / Asylum,6207326
Dj Guuga,6194305
T-Series,6177604
Pineapple Storm,6061819
AVRUPA MÜZİK YAPIM,6054112
David Kushner,6048754
Banger Musik/WM Germany,6047678
Rostrum Records,6041708
BMG Rights Management and Administration (Spain) S.L.U,6017354
Only The Family Entertainment / EMPIRE,6011159
Woodworm Publishing Italia SNC,5933484
ONLY PRO,5892932
KMN Gang,5878493
Jagjaguwar,5876058
BMG Rights Management GmbH,5867111
Thasup s.r.l.,5819231
"Will Walker Records, LLC",5782829
EMPIRE / Atlantic Recording Corporation,5686110
Gerardo Daniel Torres Montante,5655126
BMG Rights Management (UK) Limited,5611874
Warner Records/Roc-A-Fella,5602548
"에이스토리, 모스트콘텐츠",5552211
Atlantic Records/Arthouse Records,5544011
MBK Entertainment/RCA Records,5531998
XY Records,5494500
Revolution Records,5490484
Fantasy Records,5457722
Dreamville/Interscope Records,5454994
SM Entertainment/Capitol Records,5421847
PONY CANYON INC.,5417776
Grade A/Posty/Interscope/Republic,5393459
Cactus Jack / WeRunIt Ent. / Atlantic,5346005
Starboy/RCA Records,5332786
Four Music/Two Sides,5317174
Cafe Bleu Recordings,5215969
Universal Music Africa,5208787
Jo&Co,5174437
Dream Music,5156496
Samlist,5152139
Lost Kids,5136895
Asylum Records,5119828
10:22 pm/Astralwerks,5062566
Mas Pam Records,5052557
Head Concussion Records,5015564
RARE Sound / Interscope / EMPIRE,4994448
1501 Certified Ent/Warner Records,4915403
Hypnotize Entertainment,4701388
Art@War/Atlantic Records,4609169
Republic/UMLE,4530498
Sony Music Special Projects,4450945
DTA/Elektra,4435538
"1400 Entertainment, Inc. / TenThousand Projects, LLC",4416484
"XO Records, LLC and Republic Records",4298159
KondZilla,4291810
A-P Records,4250022
Interstellar Music/RCA Records,3896269
QLF Records,3885608
Produtora X,3854154
"2018 Real Hasta La Muerte, Inc.",3850951
Olha A Explosao PS,3840017
Safehouse Records / Island Records,3488062
Warner Music Brasil sob licenciamento exclusivo da Play Produtora e Start Music,3457583
BOEFMUSIC,3376698
Pro Era,3306862
AUF!KEINEN!FALL!,3282104
Thirty Seconds To Mars,3278983
Ninetone Records,3125372
Major Tom's / Atlantic,3111623
MCI,3052833
VÉRITÉ,2753947
Poe Boy/Atlantic,2673597
