source,streams,count_main_artist,count_track_name
Fresh 2 Def Productions,16366,1,1
Members Only / EMPIRE,15995,1,1
Epic/Freebandz/A1,15892,1,1
Majesty Music Entertainment,15868,1,1
Cash Money Records,15785,1,1
All We Got Ent.,15755,1,2
Music Aggregator,15603,1,1
CYPHA / MUTHALAND,14939,1,1
Sista Prod/Atlantic,14050,1,1
Boss Entertainment (Pty) Ltd,14005,1,1
Milkshake,13838,1,1
Roy Bulkin Music,13701,1,1
Gentle Soul Records,13635,1,1
Jonas Brothers,13626,1,1
Island Records/Hollywood Records,13566,1,1
J. Cole/ DreamVille,13398,1,1
Universal Music Latino/ NEON16,13248,1,1
RCA Camden,13147,1,1
Vth Season,13006,2,2
"1400 Entertainment, Inc. / TenThousand Projects, LLC",12814,1,1
"Roc Nation, LLC",12283,1,1
"Aftermath/12 Tone Music, LLC",12204,1,1
Machine Entertainment Group - G Herbo,11159,1,1
WM UK,10949,2,2
KSR/Atlantic,10874,1,2
Family Tree,10864,1,2
Epic/300 Entertainment/Atlantic Recordings Corporation,10855,1,1
Benny Blanco Major,10760,1,1
TakeOne Company | BigHit Entertainment,10461,1,1
Joyner Lucas,8719,1,1
Eleven Seven Music,8715,1,1
Dryden Street,8611,1,1
Kiff Records,8421,1,1
FMLY,8276,1,1
Rudebouy Major,8109,1,1
EARLY AM,8069,1,1
"2019 Real Hasta La Muerte, LLC.",7927,1,1
Scatterlings,7908,1,1
Spoegwolf (Pty) Ltd,7891,1,1
Roadrunner Records,7855,1,1
Virgin Records Ltd,7335,1,1
Top Dawg Ent./Interscope Records,7029,1,2
Creed 2 Soundtrack,6981,1,1
Verve Reissues,6497,1,1
Party In Backyard,5829,1,1
"Monster Mountain, LLC / Island",5745,1,1
Left Lane Recordings,5533,1,1
Indie,5412,1,1
Distruction boyz records,5281,1,1
Globe Field,5241,1,1
Distruction Boyz Records,4631,1,1
Honesty Saves Time/RCA Records,4461,1,1
Lava Music/Republic Records,4025,1,1
Soulful Horizons Music,3422,1,1
BlocBoy JB,3271,1,1
"Bearthday Music, LLC",2884,1,1
Found Frequencies,2731,1,1
Sony Soho Square,2419,1,1
Petit Biscuit Music,2403,1,1
Hillsong Music and Resources LLC,2279,1,1
Southeastern Records,2236,1,1
